product_id,source_kind,filename,url,local_path,already_existed,selected_for_cube_file_list
OPERA_L2_RTC-S1_T014-028627-IW2_20230528T155648Z_20250203T214936Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230528T155648Z_20250203T214936Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230528T155648Z_20250203T214936Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230528T155648Z_20250203T214936Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230516T155648Z_20250203T011127Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230516T155648Z_20250203T011127Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230516T155648Z_20250203T011127Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230516T155648Z_20250203T011127Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230504T155647Z_20250202T055001Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230504T155647Z_20250202T055001Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230504T155647Z_20250202T055001Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230504T155647Z_20250202T055001Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230422T155646Z_20250201T103148Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230422T155646Z_20250201T103148Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230422T155646Z_20250201T103148Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230422T155646Z_20250201T103148Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230410T155646Z_20250131T150551Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230410T155646Z_20250131T150551Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230410T155646Z_20250131T150551Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230410T155646Z_20250131T150551Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230329T155645Z_20250127T123525Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230329T155645Z_20250127T123525Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230329T155645Z_20250127T123525Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230329T155645Z_20250127T123525Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230317T155645Z_20250126T050902Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230317T155645Z_20250126T050902Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230317T155645Z_20250126T050902Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230317T155645Z_20250126T050902Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230305T155645Z_20250124T224310Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230305T155645Z_20250124T224310Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230305T155645Z_20250124T224310Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230305T155645Z_20250124T224310Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230221T155645Z_20250123T155425Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230221T155645Z_20250123T155425Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230221T155645Z_20250123T155425Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230221T155645Z_20250123T155425Z_S1A_30_v1.0_VH.tif,False,True
OPERA_L2_RTC-S1_T014-028627-IW2_20230209T155645Z_20250122T091752Z_S1A_30_v1.0,additional,OPERA_L2_RTC-S1_T014-028627-IW2_20230209T155645Z_20250122T091752Z_S1A_30_v1.0_VH.tif,https://datapool.asf.alaska.edu/RTC/OPERA-S1/OPERA_L2_RTC-S1_T014-028627-IW2_20230209T155645Z_20250122T091752Z_S1A_30_v1.0_VH.tif,opera_burst_files\OPERA_L2_RTC-S1_T014-028627-IW2_20230209T155645Z_20250122T091752Z_S1A_30_v1.0_VH.tif,False,True
